                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00102,                 0.2723,                0.00266,                0.00054,                    nan,                    nan,                    nan,             0.00054698,             0.00054698,             0.00054698
                      2,                    nan,                    nan,                    nan,                0.00089,                0.26829,                0.00204,                 0.0004,                    nan,                    nan,                    nan,              0.0010663,              0.0010663,              0.0010663
                      3,                    nan,                    nan,                    nan,                0.00094,                0.28393,                 0.0021,                0.00039,                    nan,                    nan,                    nan,              0.0015489,              0.0015489,              0.0015489
                      4,                    nan,                    nan,                    nan,                0.00082,                0.25159,                0.00193,                0.00036,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      5,                    nan,                    nan,                    nan,                0.00082,                0.24503,                0.00193,                0.00032,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      6,                    nan,                    nan,                    nan,                0.00084,                0.26068,                0.00202,                0.00035,                    nan,                    nan,                    nan,               0.001447,               0.001447,               0.001447
                      7,                    nan,                    nan,                    nan,                0.00085,                0.25412,                0.00196,                0.00037,                    nan,                    nan,                    nan,              0.0013919,              0.0013919,              0.0013919
                      8,                    nan,                    nan,                    nan,                0.00085,                0.25412,                0.00202,                0.00035,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                      9,                    nan,                    nan,                    nan,                0.00085,                0.25412,                0.00204,                0.00035,                    nan,                    nan,                    nan,              0.0012819,              0.0012819,              0.0012819
                     10,                    nan,                    nan,                    nan,                0.00085,                0.25412,                0.00203,                0.00035,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                     11,                    nan,                    nan,                    nan,                 0.0008,                0.24249,                0.00192,                0.00034,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     12,                    nan,                    nan,                    nan,                0.00079,                0.24249,                0.00187,                0.00032,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     13,                    nan,                    nan,                    nan,                0.00077,                 0.2334,                0.00208,                0.00037,                    nan,                    nan,                    nan,              0.0010619,              0.0010619,              0.0010619
                     14,                    nan,                    nan,                    nan,                0.00093,                0.27484,                 0.0021,                0.00038,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     15,                    nan,                    nan,                    nan,                0.00082,                0.24503,                0.00171,                0.00031,                    nan,                    nan,                    nan,             0.00095186,             0.00095186,             0.00095186
                     16,                    nan,                    nan,                    nan,                0.00082,                0.24503,                0.00175,                 0.0003,                    nan,                    nan,                    nan,             0.00089685,             0.00089685,             0.00089685
                     17,                    nan,                    nan,                    nan,                0.00085,                0.25412,                0.00206,                0.00034,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     18,                    nan,                    nan,                    nan,                0.00082,                0.25159,                0.00202,                0.00039,                    nan,                    nan,                    nan,             0.00078682,             0.00078682,             0.00078682
                     19,                    nan,                    nan,                    nan,                0.00087,                0.26321,                0.00197,                0.00037,                    nan,                    nan,                    nan,             0.00073181,             0.00073181,             0.00073181
                     20,                    nan,                    nan,                    nan,                0.00082,                0.25159,                0.00199,                0.00034,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     21,                    nan,                    nan,                    nan,                0.00052,                 0.1778,                0.00131,                0.00021,                    nan,                    nan,                    nan,             0.00062179,             0.00062179,             0.00062179
                     22,                    nan,                    nan,                    nan,                0.00043,                0.14144,                0.00111,                0.00021,                    nan,                    nan,                    nan,             0.00056678,             0.00056678,             0.00056678
                     23,                    nan,                    nan,                    nan,                0.00033,                0.10507,                0.00079,                0.00015,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     24,                    nan,                    nan,                    nan,                0.00038,                0.12326,                0.00082,                0.00015,                    nan,                    nan,                    nan,             0.00045676,             0.00045676,             0.00045676
                     25,                    nan,                    nan,                    nan,                0.00043,                0.14144,                0.00101,                 0.0002,                    nan,                    nan,                    nan,             0.00040175,             0.00040175,             0.00040175
                     26,                    nan,                    nan,                    nan,                0.00043,                0.14144,                0.00093,                0.00018,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     27,                    nan,                    nan,                    nan,                0.00043,                0.14144,                0.00107,                0.00021,                    nan,                    nan,                    nan,             0.00029172,             0.00029172,             0.00029172
                     28,                    nan,                    nan,                    nan,                0.00043,                0.14144,                0.00095,                 0.0002,                    nan,                    nan,                    nan,             0.00023671,             0.00023671,             0.00023671
                     29,                    nan,                    nan,                    nan,                0.00041,                0.13235,                0.00099,                 0.0002,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     30,                    nan,                    nan,                    nan,                 0.0004,                0.13235,                0.00092,                0.00018,                    nan,                    nan,                    nan,             0.00012669,             0.00012669,             0.00012669
